id,name,email,age,score,active,timestamp,category,value1,value2,description
499732,User_zciu4,uservz2nxq@example.com,43,49.93,false,2025-10-15T18:12:15.166Z,Category5,608.85,270.22,"Description with some text content 0.2604630308670829"
638705,User_okym6m,userelueh5@example.com,42,92.09,false,2025-10-15T18:12:15.166Z,Category8,602.20,771.39,"Description with some text content 0.5318717792038268"
856484,User_f1cpg,userhv5dem@example.com,53,22.58,false,2025-10-15T18:12:15.166Z,Category8,277.76,800.90,"Description with some text content 0.9148328094266903"
984384,User_bwrzms,userng886v@example.com,86,20.94,true,2025-10-15T18:12:15.166Z,Category8,916.41,621.66,"Description with some text content 0.018498348935669706"
785092,User_lrl7v9,user8lwfe9@example.com,21,95.77,false,2025-10-15T18:12:15.166Z,Category6,452.55,864.99,"Description with some text content 0.13833626728910187"
754582,User_kowt94,user4qwt4q@example.com,34,64.59,false,2025-10-15T18:12:15.166Z,Category3,626.22,938.25,"Description with some text content 0.24228042653073434"
999876,User_l1fic6,userju7map@example.com,22,46.10,false,2025-10-15T18:12:15.166Z,Category5,847.48,927.09,"Description with some text content 0.9203068423023426"
484531,User_nsl759,useromzrgr@example.com,48,24.85,true,2025-10-15T18:12:15.166Z,Category1,71.73,735.05,"Description with some text content 0.22490124154059843"
810395,User_5k86q3,userlebd4d@example.com,55,57.06,false,2025-10-15T18:12:15.166Z,Category8,798.11,66.77,"Description with some text content 0.7776155559095684"
488784,User_qfeimx,usermx8bnr@example.com,54,4.08,true,2025-10-15T18:12:15.166Z,Category0,352.40,647.75,"Description with some text content 0.29940209370963844"
86664,User_qjf539,user1jgg9l@example.com,87,58.81,true,2025-10-15T18:12:15.166Z,Category6,554.72,725.94,"Description with some text content 0.1207870432369319"
86788,User_abtrc,userpjyv26@example.com,55,7.49,true,2025-10-15T18:12:15.166Z,Category4,953.86,143.91,"Description with some text content 0.36422891213483366"
203392,User_9jqvwo,userli7yv9@example.com,58,79.98,true,2025-10-15T18:12:15.166Z,Category7,285.02,941.19,"Description with some text content 0.09312764987579769"
560000,User_87u5z,user0slgfg@example.com,76,76.35,false,2025-10-15T18:12:15.166Z,Category0,598.25,344.56,"Description with some text content 0.8859830272294826"
962502,User_ju20u,userpfy21@example.com,83,56.31,true,2025-10-15T18:12:15.166Z,Category1,172.95,609.88,"Description with some text content 0.3948301759081835"
60148,User_1jbish,usernmflchd@example.com,64,61.61,false,2025-10-15T18:12:15.166Z,Category6,999.01,909.08,"Description with some text content 0.08519185087334225"
558018,User_3yilb6,userhjhy9@example.com,86,56.98,false,2025-10-15T18:12:15.166Z,Category3,843.69,193.43,"Description with some text content 0.4165790164043336"
659645,User_fj3z6,usernjoulk@example.com,70,21.30,true,2025-10-15T18:12:15.166Z,Category8,309.72,695.13,"Description with some text content 0.24376807410009427"
376223,User_a6sieo,userrqdplf@example.com,24,41.43,false,2025-10-15T18:12:15.166Z,Category7,620.17,677.02,"Description with some text content 0.634531032843154"
608585,User_g4xew,user96bj1f@example.com,38,33.18,false,2025-10-15T18:12:15.166Z,Category3,353.43,141.89,"Description with some text content 0.27562799954369177"
658580,User_jzc9tt,userpecg3k@example.com,50,13.30,true,2025-10-15T18:12:15.166Z,Category7,89.61,231.61,"Description with some text content 0.0032375959295435353"
155707,User_gz89wo,user9htyf@example.com,48,52.92,false,2025-10-15T18:12:15.166Z,Category7,921.45,190.67,"Description with some text content 0.25898644785299396"
95311,User_p99kqa,userfpjbsw@example.com,59,51.03,false,2025-10-15T18:12:15.166Z,Category7,7.77,179.17,"Description with some text content 0.11297796730887222"
197057,User_hlcc2i,userwogy3i@example.com,80,49.29,true,2025-10-15T18:12:15.166Z,Category5,27.05,836.33,"Description with some text content 0.5183575042906229"
253807,User_bof6if,user4q7sfl@example.com,59,45.39,false,2025-10-15T18:12:15.166Z,Category2,450.99,832.18,"Description with some text content 0.7765536977530283"
657749,User_zh61ql,userk2wljn@example.com,86,68.43,true,2025-10-15T18:12:15.166Z,Category8,364.98,102.20,"Description with some text content 0.9354267585955633"
993669,User_374njv,userrvwfyc@example.com,92,31.43,false,2025-10-15T18:12:15.166Z,Category1,323.80,478.30,"Description with some text content 0.9746687949866152"
48712,User_1yrtrc,usermbltj@example.com,39,99.82,false,2025-10-15T18:12:15.166Z,Category9,666.95,760.76,"Description with some text content 0.797122377743594"
432519,User_iq4915,userwt8ase@example.com,85,80.54,true,2025-10-15T18:12:15.166Z,Category1,210.18,959.73,"Description with some text content 0.4365354185827496"
480726,User_ifctbs,user4l9cdm@example.com,63,33.05,true,2025-10-15T18:12:15.166Z,Category8,315.22,149.78,"Description with some text content 0.4439898756499655"
222133,User_ozyi9i,usermyskfd@example.com,26,2.30,true,2025-10-15T18:12:15.166Z,Category2,595.84,880.07,"Description with some text content 0.6303916127038787"
347912,User_joxs,usermpy1nr@example.com,88,18.38,true,2025-10-15T18:12:15.166Z,Category3,408.70,437.45,"Description with some text content 0.14674812830785622"
476077,User_gs3vw,userctj89yj@example.com,69,86.84,true,2025-10-15T18:12:15.166Z,Category4,814.73,83.18,"Description with some text content 0.5881432765801431"
138126,User_q5vugm,user3a54u@example.com,49,39.50,true,2025-10-15T18:12:15.166Z,Category2,319.50,610.29,"Description with some text content 0.46759236548001737"
404568,User_e16i2h,userm2d58m@example.com,21,62.78,true,2025-10-15T18:12:15.166Z,Category8,243.19,678.25,"Description with some text content 0.5255057960984093"
441477,User_h8ui1c,user5f6xys@example.com,69,48.64,false,2025-10-15T18:12:15.166Z,Category8,822.23,134.24,"Description with some text content 0.7997066027162664"
821454,User_2wqj5v,userob2ks8@example.com,18,59.02,false,2025-10-15T18:12:15.166Z,Category5,624.61,465.06,"Description with some text content 0.4501407847129272"
965165,User_c7sfca,user6prdu@example.com,32,83.60,true,2025-10-15T18:12:15.166Z,Category9,333.42,307.81,"Description with some text content 0.46463717097323975"
138413,User_wuptxc,user8xk63v@example.com,18,7.23,false,2025-10-15T18:12:15.166Z,Category7,144.96,607.13,"Description with some text content 0.5629464477132982"
80900,User_klkng,userh9ds5t@example.com,92,21.09,true,2025-10-15T18:12:15.166Z,Category6,997.09,264.57,"Description with some text content 0.35121238385269404"
547086,User_rdt243,userqt16kd@example.com,70,28.18,true,2025-10-15T18:12:15.166Z,Category2,749.34,808.15,"Description with some text content 0.30582182510879163"
769904,User_jjo2zn,userrkbg7i@example.com,67,83.59,false,2025-10-15T18:12:15.166Z,Category9,553.14,642.84,"Description with some text content 0.8938640734895391"
414221,User_qks1lh,userr3a8c@example.com,26,35.91,false,2025-10-15T18:12:15.166Z,Category1,285.55,68.16,"Description with some text content 0.42475608393844766"
229741,User_bshtdg,user7r95r5@example.com,70,55.57,true,2025-10-15T18:12:15.166Z,Category5,116.93,782.25,"Description with some text content 0.557839959495377"
737796,User_mq8fxe,userku6ng@example.com,42,45.20,false,2025-10-15T18:12:15.166Z,Category0,482.39,929.97,"Description with some text content 0.8685852433471787"
842537,User_eg1aqa,userb3fux@example.com,86,78.23,true,2025-10-15T18:12:15.166Z,Category4,848.50,928.41,"Description with some text content 0.6722804742991408"
852928,User_f1a3yk,usermmfgll@example.com,78,94.50,false,2025-10-15T18:12:15.166Z,Category4,302.76,229.00,"Description with some text content 0.3242840574068596"
81492,User_39ro75,usern1kerk@example.com,50,52.01,false,2025-10-15T18:12:15.166Z,Category3,771.63,140.54,"Description with some text content 0.2706237785291443"
881711,User_pta193,user7fzpmm@example.com,84,83.52,true,2025-10-15T18:12:15.166Z,Category1,712.00,115.88,"Description with some text content 0.8905519803348992"
363030,User_eexhc,userrsat3@example.com,72,62.72,false,2025-10-15T18:12:15.166Z,Category2,529.17,600.54,"Description with some text content 0.18213685323319928"
828124,User_8t12ak,user3j40ec@example.com,64,6.13,false,2025-10-15T18:12:15.166Z,Category8,36.68,639.81,"Description with some text content 0.07196342552869917"
540830,User_qfn3n,user7wemyi@example.com,37,1.69,true,2025-10-15T18:12:15.166Z,Category4,237.10,890.59,"Description with some text content 0.5161125007738226"
865492,User_1bzwk,userrcwj9g@example.com,65,78.94,false,2025-10-15T18:12:15.166Z,Category6,802.55,748.99,"Description with some text content 0.12681597553031498"
185204,User_qqk15h,user4qxc4i@example.com,22,74.93,false,2025-10-15T18:12:15.166Z,Category3,521.02,922.41,"Description with some text content 0.4102190181358898"
523074,User_jz8i6,user6rl9q7@example.com,66,57.19,true,2025-10-15T18:12:15.166Z,Category1,9.90,58.87,"Description with some text content 0.9324539617428993"
414414,User_urf0bp,userzfl88c@example.com,70,32.86,false,2025-10-15T18:12:15.166Z,Category9,475.96,719.26,"Description with some text content 0.8362354885345376"
186427,User_60xbg9,userjushm@example.com,74,65.39,false,2025-10-15T18:12:15.166Z,Category4,588.02,931.97,"Description with some text content 0.250277877965283"
942410,User_u32t3q,user6izbkc@example.com,66,67.16,false,2025-10-15T18:12:15.166Z,Category3,923.66,443.49,"Description with some text content 0.57331740062574"
345084,User_1tg58m,userr6o1lo@example.com,25,8.57,true,2025-10-15T18:12:15.166Z,Category4,896.55,739.37,"Description with some text content 0.3924307351051133"
526581,User_t3jjwi,userjz3p3m@example.com,96,95.56,true,2025-10-15T18:12:15.166Z,Category5,815.13,106.17,"Description with some text content 0.417775813101697"
313917,User_oxi8la,useroeaps4@example.com,68,11.57,false,2025-10-15T18:12:15.166Z,Category7,94.37,117.28,"Description with some text content 0.3923885325582144"
342128,User_n7udr,usern0d4vp@example.com,20,90.68,false,2025-10-15T18:12:15.166Z,Category5,120.75,716.17,"Description with some text content 0.2351307408441793"
895342,User_zjrtne,user26vo6n@example.com,33,5.29,true,2025-10-15T18:12:15.166Z,Category5,965.54,601.89,"Description with some text content 0.5418358468655716"
950916,User_20963,userrgbuq5@example.com,39,83.98,false,2025-10-15T18:12:15.166Z,Category2,168.44,88.94,"Description with some text content 0.130115513145602"
850181,User_4yn88q,userud5znnj@example.com,54,98.89,true,2025-10-15T18:12:15.166Z,Category5,762.77,776.96,"Description with some text content 0.8287886312876335"
37000,User_6lkutr,user57tuk@example.com,38,74.77,false,2025-10-15T18:12:15.166Z,Category7,395.67,171.41,"Description with some text content 0.8599394915046304"
523732,User_5rvwd9,userm9b99zn@example.com,26,83.47,true,2025-10-15T18:12:15.166Z,Category1,201.90,222.44,"Description with some text content 0.9945893769893691"
650388,User_wysr8,user80p4r@example.com,59,61.99,true,2025-10-15T18:12:15.166Z,Category3,625.66,655.86,"Description with some text content 0.4087602389690388"
841010,User_p4gd6,userwt8qzh@example.com,23,42.10,false,2025-10-15T18:12:15.166Z,Category5,431.85,123.38,"Description with some text content 0.2428246718985042"
622731,User_f3ch64,uservcfq4q@example.com,74,78.78,false,2025-10-15T18:12:15.166Z,Category4,722.04,797.95,"Description with some text content 0.5846325539998216"
475639,User_8zp9jc,user0ujwdc@example.com,71,92.26,false,2025-10-15T18:12:15.166Z,Category7,119.46,514.79,"Description with some text content 0.35850539054358244"
395676,User_9jx618,useru2db6@example.com,27,18.80,true,2025-10-15T18:12:15.166Z,Category2,533.90,753.04,"Description with some text content 0.3291006932759186"
128042,User_92ain,userurn6xw@example.com,78,95.42,false,2025-10-15T18:12:15.166Z,Category1,113.07,221.14,"Description with some text content 0.906451336329914"
755673,User_3nfiln,usera676h@example.com,80,31.55,true,2025-10-15T18:12:15.166Z,Category7,817.98,218.27,"Description with some text content 0.03627310909149839"
188237,User_tkjgs3,useriof6ih@example.com,39,59.90,true,2025-10-15T18:12:15.166Z,Category2,310.93,900.71,"Description with some text content 0.103402017758356"
72383,User_xzjpx,userm16nv9@example.com,32,37.09,true,2025-10-15T18:12:15.166Z,Category5,75.39,563.04,"Description with some text content 0.2908536328775915"
